test,nact,before
89.22,80.0,10.87
89.52,80.0,10.87
89.52,80.0,10.87
89.79,80.0,10.87
89.73,80.0,10.87
89.33,80.0,10.87
89.68,80.0,10.87
89.4,80.0,10.87
89.4,80.0,10.87
89.56,80.0,10.87
89.21,80.0,10.87
89.56,80.0,10.87
89.23,80.0,10.87
89.51,80.0,10.87
89.64,80.0,10.87
89.2,80.0,10.87
89.49,80.0,10.87
89.58,80.0,10.87
89.39,80.0,10.87
89.28,80.0,10.87
89.37,80.0,10.87
89.72,80.0,10.87
89.35,80.0,10.87
89.38,80.0,10.87
89.82,80.0,10.87
89.46,80.0,10.87
89.81,80.0,10.87
89.8,80.0,10.87
89.33,80.0,10.87
89.45,80.0,10.87
89.25,80.0,10.87
89.26,80.0,10.87
89.24,80.0,10.87
89.45,80.0,10.87
89.35,80.0,10.87
89.25,80.0,10.87
89.1,80.0,10.87
89.78,80.0,10.87
89.24,80.0,10.87
89.48,80.0,10.87
89.65,80.0,10.87
89.76,80.0,10.87
89.34,80.0,10.87
89.65,80.0,10.87
89.4,80.0,10.87
89.75,80.0,10.87
89.66,80.0,10.87
89.34,80.0,10.87
89.56,80.0,10.87
89.28,80.0,10.87
89.51,80.0,10.87
89.73,80.0,10.87
89.26,80.0,10.87
89.62,80.0,10.87
89.71,80.0,10.87
89.57,80.0,10.87
89.53,80.0,10.87
89.97,80.0,10.87
89.49,80.0,10.87
89.86,80.0,10.87
89.51,80.0,10.87
89.56,80.0,10.87
89.14,80.0,10.87
89.53,80.0,10.87
89.28,80.0,10.87
89.25,80.0,10.87
90.01,80.0,10.87
89.76,80.0,10.87
89.59,80.0,10.87
89.53,80.0,10.87
89.99,80.0,10.87
89.88,80.0,10.87
89.9,80.0,10.87
89.99,80.0,10.87
89.22,80.0,10.87
89.61,80.0,10.87
89.86,80.0,10.87
89.52,80.0,10.87
89.63,80.0,10.87
89.58,80.0,10.87
89.75,80.0,10.87
89.7,80.0,10.87
89.72,80.0,10.87
89.1,80.0,10.87
89.84,80.0,10.87
89.59,80.0,10.87
89.52,80.0,10.87
89.78,80.0,10.87
89.52,80.0,10.87
90.0,80.0,10.87
90.07,80.0,10.87
89.34,80.0,10.87
89.78,80.0,10.87
89.69,80.0,10.87
89.87,80.0,10.87
89.74,80.0,10.87
89.85,80.0,10.87
89.85,80.0,10.87
90.1,80.0,10.87
89.83,80.0,10.87
90.2,80.0,10.87
89.75,80.0,10.87
90.06,80.0,10.87
89.93,80.0,10.87
90.14,80.0,10.87
89.63,80.0,10.87
90.06,80.0,10.87
89.71,80.0,10.87
90.18,80.0,10.87
90.22,80.0,10.87
90.32,80.0,10.87
89.68,80.0,10.87
89.5,80.0,10.87
90.05,80.0,10.87
89.73,80.0,10.87
90.04,80.0,10.87
89.97,80.0,10.87
89.99,80.0,10.87
89.83,80.0,10.87
90.01,80.0,10.87
90.04,80.0,10.87
90.49,80.0,10.87
89.82,80.0,10.87
89.86,80.0,10.87
90.0,80.0,10.87
90.58,80.0,10.87
89.85,80.0,10.87
90.19,80.0,10.87
90.16,80.0,10.87
89.65,80.0,10.87
89.57,80.0,10.87
89.79,80.0,10.87
90.0,80.0,10.87
89.95,80.0,10.87
90.34,80.0,10.87
